county,school_district,city,median_1br_zumper,median_anual_rent,full_time_employees,average_salary,step_10,average_salary_spent_on_rent,step_10_salary_spent_on_1br,school
Los Angeles County,LOS ANGELES UNIFIED,Los Angeles,1750,21000,25688,72495,67417,0.29,0.31,Los Angeles Unified
San Francisco County,SAN FRANCISCO UNIFIED,San Francisco,3500,42000,3518.98,65238,66584,0.64,0.63,San Francisco Unified
Alameda County,OAKLAND UNIFIED,Oakland,1980,23760,1903.96,58033,58516,0.41,0.41,Oakland Unified
Alameda County,BERKELEY UNIFIED,Berkeley,2400,28800,624.9,71133,70418,0.4,0.41,Berkeley Unified
Santa Cruz County,PAJARO VALLEY JOINT UNIFIED,Santa Cruz County,1700,20400,1012.97,60690,60104,0.34,0.34,Pajaro Valley Joint Unified
Contra Costa County,WEST CONTRA COSTA UNIFIED,Richmond,1870,22440,1393.06,59503,59640,0.38,0.38,West Contra Costa Unified
Santa Clara County,SAN JOSE UNIFIED,San Jose,2230,26760,1674,70979,75277,0.38,0.36,San Jose Unified
Contra Costa County,SAN RAMON VALLEY UNIFIED,Pleasanton,2110,25320,1505.13,71080,71484,0.36,0.35,San Ramon Valley Unified
Santa Clara County,CUPERTINO UNION ELEMENTARY,Santa Clara,2150,25800,865.71,78280,80582,0.33,0.32,Cupertino Union Elementary
Santa Clara County,EAST SIDE UNION HIGH,San Jose,2230,26760,1148.3,84725,85132,0.32,0.31,East Side Union High
Santa Clara County,PALO ALTO UNIFIED,Palo Alto,2480,29760,809.51,95811,91635,0.31,0.32,Palo Alto Unified
Santa Barbara County,SANTA BARBARA UNIFIED,Santa Barbara,1830,21960,634.69,71865,73826,0.31,0.3,Santa Barbara Unified
Santa Clara County,SANTA CLARA UNIFIED,Santa Clara,2150,25800,778.45,85112,84312,0.3,0.31,Santa Clara Unified
Alameda County,FREMONT UNIFIED,Fremont,2110,25320,1615.29,83968,84043,0.3,0.3,Fremont Unified
Ventura County,CONEJO VALLEY UNIFIED,Thousand Oaks,1870,22440,898.08,76224,71801,0.29,0.31,Conejo Valley Unified
Los Angeles County,PASADENA UNIFIED,Pasadena,1700,20400,780,69578,60566,0.29,0.34,Pasadena Unified
Alameda County,PLEASANTON UNIFIED,Pleasanton,2110,25320,610.54,89522,83191,0.28,0.3,Pleasanton Unified
Ventura County,SIMI VALLEY UNIFIED,Simi Valley,1570,18840,782.6,68764,66135,0.27,0.28,Simi Valley Unified
Orange County,IRVINE UNIFIED,Irvine,1760,21120,1387.54,77121,78770,0.27,0.27,Irvine Unified
Orange County,NEWPORT-MESA UNIFIED,Newport Beach,2000,24000,981.9,88376,83007,0.27,0.29,Newport-Mesa Unified
Alameda County,HAYWARD UNIFIED,Hayward,1790,21480,1095.91,80220,79459,0.27,0.27,Hayward Unified
Alameda County,LIVERMORE VALLEY JOINT UNIFIED,Livermore,1590,19080,629.34,72049,70262,0.26,0.27,Livermore Valley Joint Unified
Orange County,SADDLEBACK VALLEY UNIFIED,Mission Viejo,1710,20520,1178.11,80136,73082,0.26,0.28,Saddleback Valley Unified
Orange County,ORANGE UNIFIED,Orange,1650,19800,1160.98,78819,74538,0.25,0.27,Orange Unified
Orange County,CAPISTRANO UNIFIED,Mission Viejo,1710,20520,2012.7,83235,74947,0.25,0.27,Capistrano Unified
San Diego County,SAN DIEGO CITY UNIFIED,San Diego,1500,18000,5633.33,73582,64780,0.24,0.28,San Diego City Unified
Alameda County,NEW HAVEN UNIFIED,Hayward,1790,21480,604.35,88820,85354,0.24,0.25,New Haven Unified
Los Angeles County,GLENDALE UNIFIED,Glendale,1500,18000,1104.7,74441,67125,0.24,0.27,Glendale Unified
